title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 12-31,2025-07-11 12:44:10,00:16:11,42,180,180,42,Lost,Twitch Integration
Noita Soler TI 18-27,2025-07-12 06:54:32,00:19:23,67,240,240,67,Lost,Twitch Integration
Noita Sun Quest Daily Run,2025-07-12 08:02:27,05:18:22,451,35,451,35,Won,Daily Run
Noita Power Words 10 Attempts,2025-07-13 06:05:50,00:52:27,89,269,269,89,Lost,Power Words
Noita Hunting 12 Unique Wands On Daily Run,2025-07-13 07:38:38,05:59:04,471,32,471,32,Won,Daily Run
Noita Soler TI 14-28,2025-07-13 13:55:24,00:16:20,42,163,163,42,Lost,Twitch Integration
Enter The Gungeon No Hit 1st Boss,2025-07-16 06:46:33,00:09:36,62,91,91,62,Lost,Enter the Gungeon
Enter The Gungeon Dragun Boss Kill,2025-07-16 13:24:51,00:08:48,152,22,22,152,Lost,Enter the Gungeon
Noita Roulette And Ask The Gods Daily Run,2025-07-18 06:47:07,04:03:19,443,31,443,31,Won,Daily Run
Noita Soler TI 12-20 3 Attempts,2025-07-18 11:35:32,00:33:50,85,178,85,178,Won,Twitch Integration
Noita 34 Orb Daily Run Without NG+,2025-07-19 07:13:55,08:25:36,535,44,535,44,Won,Daily Run
Noita Soler TI 14-27,2025-07-20 08:41:43,00:17:33,90,272,272,90,Lost,Twitch Integration
Noita No Wands Run 3 Attempts,2025-07-20 09:40:41,00:40:08,223,86,223,86,Won,Other
Noita Power Words 6 Attempts,2025-07-20 11:14:09,00:34:46,131,155,155,131,Lost,Power Words
Gungeon 1st Boss No Hit,2025-07-24 06:20:57,00:08:57,55,91,91,55,Lost,Enter the Gungeon
Gungeon Dragun Boss Fight,2025-07-24 08:36:58,00:09:26,123,29,123,29,Won,Enter the Gungeon
Gungeon Dragun Kill,2025-07-24 11:42:49,00:09:50,110,24,110,24,Won,Enter the Gungeon
Gungeon No Hit First Boss,2025-07-25 06:40:44,00:15:42,65,95,95,65,Lost,Enter the Gungeon
Gungeon Convict Past Kill,2025-07-25 08:52:13,00:10:46,169,26,169,26,Won,Enter the Gungeon
Gungeon First Boss No Hit,2025-07-25 09:23:39,00:07:09,71,48,71,48,Won,Enter the Gungeon
Gungeon Pilot Past Kill,2025-07-25 10:51:07,00:18:53,153,31,153,31,Won,Enter the Gungeon
Noita Lucky 7 Daily Run,2025-07-26 07:51:18,07:03:41,504,33,504,33,Won,Daily Run
Noita 11 Orb Bleeding Healthium Daily Run,2025-07-27 08:07:35,06:23:19,497,35,497,35,Won,Daily Run
Gungeon Dragun Boss Fight,2025-07-30 08:14:04,00:13:18,62,47,47,62,Lost,Enter the Gungeon
Gungeon Rat Boss,2025-07-30 12:27:14,00:06:58,69,70,70,69,Lost,Enter the Gungeon
Noita Soler TI 14-27,2025-07-31 07:50:56,00:32:19,75,246,246,75,Lost,Twitch Integration
Noita Nightmare Run Win,2025-07-31 08:57:06,00:20:35,211,60,60,211,Lost,Nightmare
Noita Nightmare Run Attempt 2,2025-07-31 09:20:43,00:13:59,179,58,58,179,Lost,Nightmare
Noita Small Range Roulette Daily Run,2025-07-31 11:06:41,01:57:04,327,33,327,33,Won,Daily Run
