title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 13-37,2024-08-04 07:04:47,00:23:10,87,205,205,87,Lost,Twitch Integration
Noita Boss Rush Daily Run,2024-08-04 07:41:27,04:52:41,264,61,61,264,Lost,Daily Run
Noita Soler TI 13-17 5 Attempts,2024-08-04 12:51:38,00:23:08,91,149,149,91,Lost,Twitch Integration
Noita Soler TI 15-35,2024-08-08 05:58:18,00:10:04,69,133,133,69,Lost,Twitch Integration
Noita Soler TI 15-35,2024-08-08 06:34:20,00:14:42,66,171,171,66,Lost,Twitch Integration
Noita Soler TI 15-35 2 Attempts,2024-08-08 06:50:03,00:16:08,103,120,120,103,Lost,Twitch Integration
Noita Soler TI 15-35 3 Attempts,2024-08-08 07:06:24,00:28:26,110,101,110,101,Won,Twitch Integration
Noita Nightmare 7 Orb Run,2024-08-08 07:38:06,04:21:55,249,79,249,79,Won,Nightmare
Noita Soler TI 10-25 3 attempts,2024-08-08 12:01:13,00:19:06,54,103,103,54,Lost,Twitch Integration
Noita Soler TI 10-25,2024-08-09 06:27:38,00:13:58,63,250,250,63,Lost,Twitch Integration
Noita Soler TI 10-25,2024-08-09 07:01:13,00:21:54,59,250,250,59,Lost,Twitch Integration
Noita Soler TI 10-25 3 Attempts,2024-08-09 07:24:53,00:27:14,82,158,82,158,Won,Twitch Integration
Noita Roulette Daily Run,2024-08-09 08:13:52,06:08:46,371,44,371,44,Won,Daily Run
Noita Fish Quest Daily Run,2024-08-10 06:35:31,05:22:55,386,39,386,39,Won,Daily Run
Noita Soler TI 6 - 36,2024-08-10 12:02:09,00:15:37,51,180,51,180,Won,Twitch Integration
Noita Soler TI 1v1 12-30,2024-08-10 12:23:46,00:16:50,90,170,90,170,Won,Twitch Integration
Noita Soler TI 15-25,2024-08-16 06:23:00,00:18:42,82,216,216,82,Lost,Twitch Integration
Noita 11 Orb No Perks Daily Run,2024-08-16 07:39:49,04:10:30,319,54,319,54,Won,Daily Run
Noita Soler TI 13-29,2024-08-17 06:38:02,00:14:17,79,202,202,79,Lost,Twitch Integration
Noita Soler TI 13-29,2024-08-17 07:28:21,00:16:19,86,178,86,178,Won,Twitch Integration
Noita Roulette Daily Run,2024-08-17 08:00:19,05:09:36,404,33,404,33,Won,Daily Run
Noita Soler TI 11-23,2024-08-18 07:03:35,00:15:40,50,229,229,50,Lost,Twitch Integration
Noita Star Nursery Daily Run,2024-08-18 07:46:04,05:57:51,315,36,315,36,Won,Daily Run
Noita Soler TI 13-27,2024-08-18 13:50:04,00:27:19,81,167,81,167,Won,Twitch Integration
Noita Soler TI 13-27,2024-08-22 06:32:19,00:14:15,50,185,185,50,Lost,Twitch Integration
Noita No PW NG+ Gamba,2024-08-22 06:58:25,05:02:19,298,27,298,27,Won,Other
Noita Soler TI 3-33,2024-08-22 12:03:11,00:17:12,66,178,66,178,Won,Twitch Integration
Noita All Boss Daily Run No PW,2024-08-23 06:18:21,06:38:50,339,21,339,21,Won,Daily Run
Noita Finding Jarate Sniper Daily Run,2024-08-24 06:29:31,01:22:48,371,30,371,30,Won,Daily Run
Noita Creating Fools Gold Holes,2024-08-24 08:29:42,03:28:25,274,14,274,14,Won,Other
Noita Soler 13-37,2024-08-24 12:04:14,00:13:56,84,89,84,89,Won,Twitch Integration
Noita Soler TI 18-26,2024-08-24 12:30:06,00:10:52,96,130,130,96,Lost,Twitch Integration
Noita Midas At Home Daily Run,2024-08-29 05:23:28,05:36:59,352,22,352,22,Won,Daily Run
Noita Soler TI 18-26,2024-08-29 11:05:44,00:22:41,43,135,135,43,Lost,Twitch Integration
Noita Soler TI 20-30,2024-08-31 06:33:03,00:17:25,61,165,165,61,Lost,Twitch Integration
Noita Daily Run Ending With Boss Rush,2024-08-31 07:21:24,02:02:02,186,103,103,186,Lost,Daily Run
Noita Soler TI 20-30,2024-08-31 13:05:42,00:09:57,66,104,104,66,Lost,Twitch Integration
Noita Soler TI 21-29,2024-09-01 04:50:12,00:22:08,65,124,124,65,Lost,Twitch Integration
Noita True Invisibility Daily Run,2024-09-01 05:55:20,04:53:13,323,17,323,17,Won,Daily Run
Noita Soler TI 12-28,2024-09-01 10:53:30,00:20:02,56,188,188,56,Lost,Twitch Integration
Noita Soler TI 21-29,2024-09-05 06:36:42,00:04:58,70,157,157,70,Lost,Twitch Integration
Noita Perk Duping Bad Perks Daily Run,2024-09-05 07:28:20,05:47:31,323,22,323,22,Won,Daily Run
Noita Kidney Stone Daily Run,2024-09-06 05:49:54,05:23:01,349,17,349,17,Won,Daily Run
Noita Soler TI 18-25,2024-09-06 11:24:23,00:14:48,70,158,158,70,Lost,Twitch Integration
Noita Soler TI 13-34,2024-09-07 05:26:28,00:10:37,52,129,129,52,Lost,Twitch Integration
Noita Farming Health Daily Run,2024-09-07 05:54:27,01:21:53,361,23,23,361,Lost,Daily Run
Noita Roulette Run,2024-09-07 07:34:50,04:38:05,301,43,301,43,Won,Noita Roulette
Noita Soler TI 13-37,2024-09-08 03:59:49,00:16:34,56,125,56,125,Won,Twitch Integration
Noita Soler TI 13-37,2024-09-08 09:54:00,00:22:12,92,180,180,92,Lost,Twitch Integration
Noita Daily Run Building Complex Waypoint Wand,2024-09-13 04:47:51,07:26:52,297,47,297,47,Won,Daily Run
Noita Soler TI 12-24 2 Attempts,2024-09-14 04:55:30,00:25:03,74,139,74,139,Won,Twitch Integration
Noita All Boss No Payloads Daily Run,2024-09-14 05:59:52,05:38:02,350,25,350,25,Won,Daily Run
Noita Soler TI 13-37,2024-09-14 11:39:35,00:16:39,61,113,113,61,Lost,Twitch Integration
Noita Soler TI 12-32,2024-09-15 03:47:58,00:13:22,65,121,121,65,Lost,Twitch Integration
Noita Giga Nuke Quest Daily Run,2024-09-15 04:35:09,04:58:55,296,23,296,23,Won,Daily Run
Noita Soler TI 12-32,2024-09-15 09:36:29,00:18:34,63,191,191,63,Lost,Twitch Integration
Noita Soler TI 6-31,2024-09-19 04:59:07,00:10:13,51,184,184,51,Lost,Twitch Integration
Noita Infinite Healing Stone Daily Run,2024-09-19 05:19:49,06:00:12,398,35,398,35,Won,Daily Run
Noita Soler TI 13-31,2024-09-20 05:01:25,00:19:02,74,188,188,74,Lost,Twitch Integration
Noita Nightmare Run For Tier 10 Wand,2024-09-20 05:45:30,05:27:49,192,57,192,57,Won,Nightmare
Noita Soler TI 12-28,2024-09-20 11:14:16,00:26:53,63,166,166,63,Lost,Twitch Integration
Noita 1 Million Health Daily Run,2024-09-21 05:07:44,06:40:02,381,38,38,381,Lost,Daily Run
Noita Soler TI 8-20,2024-09-21 11:52:09,00:19:13,60,228,228,60,Lost,Twitch Integration
Noita Soler TI 15-20,2024-09-27 05:09:03,00:14:42,66,194,194,66,Lost,Twitch Integration
Noita Soler TI 9-27,2024-09-27 06:25:40,00:10:21,66,185,185,66,Lost,Twitch Integration
Noita Soler TI 9-27,2024-09-27 09:47:03,00:09:16,66,165,165,66,Lost,Twitch Integration
Noita Soler TI 13-37,2024-09-27 11:04:22,00:19:15,78,90,90,78,Lost,Twitch Integration
Noita Daily Run New Gamba +,2024-09-28 05:52:28,05:38:01,395,33,395,33,Won,Daily Run
Noita Soler TI 11-20 3 Attempts,2024-09-28 11:35:57,00:17:51,77,147,147,77,Lost,Twitch Integration
Noita Monster Powder Shift Daily Run,2024-09-29 05:40:53,07:13:08,355,40,355,40,Won,Daily Run
Noita Daily Run Sun Killing 14 Bosses,2024-10-03 06:06:37,07:07:58,295,47,295,47,Won,Daily Run
Noita Soler TI 18-25,2024-10-04 06:51:07,00:23:09,69,232,69,232,Won,Twitch Integration
Noita Soler TI 18-25,2024-10-04 07:56:26,00:15:58,79,195,195,79,Lost,Twitch Integration
Noita Nightmare Run Skip TWWE,2024-10-04 08:34:17,00:33:25,167,83,83,167,Lost,Nightmare
Noita Nightmare Run Skip Tinker Perk Attempt 2,2024-10-04 09:08:14,01:34:29,130,73,73,130,Lost,Nightmare
Noita Soler TI 15-20,2024-10-04 10:45:32,00:17:13,79,190,190,79,Lost,Twitch Integration
Noita Chainbolt Wisp Daily Run,2024-10-05 06:49:33,05:58:15,342,37,342,37,Won,Daily Run
Noita Soler TI 18-25,2024-10-05 12:53:31,00:13:31,76,179,179,76,Lost,Twitch Integration
Noita Soler TI 12-27,2024-10-10 12:00:57,00:19:33,44,128,44,128,Won,Twitch Integration
Noita Golden Statue Nugget Daily Run,2024-10-11 06:26:10,06:31:55,398,38,398,38,Won,Daily Run
Noita Soler TI 13-37,2024-10-12 06:09:12,00:24:38,90,177,90,177,Won,Twitch Integration
Noita Soler TI 12-27,2024-10-12 06:52:16,00:11:19,45,212,212,45,Lost,Twitch Integration
Noita ChatGPT Guided Daily Run,2024-10-12 07:38:28,02:15:57,269,47,47,269,Lost,Daily Run
Noita Soler TI 10-30,2024-10-12 11:47:14,00:16:43,61,192,192,61,Lost,Twitch Integration
Noita 1v1 Yolk,2024-10-13 07:18:02,00:52:41,71,182,182,71,Lost,Other
Noita 1v1 Yolk Bingo/Lockout Rematch,2024-10-13 08:14:59,01:17:43,70,261,70,261,Won,Other
Noita Yolk 1v1 Bingo/Lockout Rematch,2024-10-13 09:45:11,01:33:27,88,202,202,88,Lost,Other
Noita Soler TI 5-35,2024-10-17 05:43:06,00:15:29,89,200,200,89,Lost,Twitch Integration
Noita Soler TI 5-35,2024-10-17 06:25:39,00:15:46,77,226,226,77,Lost,Twitch Integration
Noita Nightmare Run Skipping Tinker Perk,2024-10-17 06:44:50,02:50:05,148,117,148,117,Won,Nightmare
Noita Soler TI 5-35,2024-10-17 10:05:52,00:20:43,68,178,178,68,Lost,Twitch Integration
Noita Max Roulette Run,2024-10-18 07:38:16,05:37:18,345,57,345,57,Won,Noita Roulette
Noita Soler TI 13-37,2024-10-18 13:23:16,00:14:27,58,107,58,107,Won,Twitch Integration
Noita Soler TI 12-28,2024-10-19 07:03:23,00:19:30,60,226,60,226,Won,Twitch Integration
Noita Diminution Mist Build Daily Run,2024-10-19 08:25:17,06:11:54,349,37,349,37,Won,Daily Run
Noita Soler TI 12-27,2024-10-20 06:02:36,00:03:43,40,139,139,40,Lost,Twitch Integration
Noita Infinite HP No HM Daily Run,2024-10-24 07:24:42,06:06:52,297,63,297,63,Won,Daily Run
Noita Soler TI 10-30,2024-10-25 07:02:13,00:11:45,46,197,197,46,Lost,Twitch Integration
Noita No PW New Game++++ Daily Run,2024-10-25 07:40:20,06:13:12,304,71,304,71,Won,Daily Run
Noita Soler TI 12-22,2024-10-27 07:09:18,00:19:13,46,206,46,206,Won,Twitch Integration
Noita 1v1 Bingo JayToTheJee,2024-10-27 07:52:58,01:48:50,48,105,48,105,Won,Other
Noita 1v1 Bingo JayToTheJee Game 2,2024-10-27 09:49:38,02:10:30,159,89,159,89,Won,Other
Noita Soler TI 15-25,2024-10-27 12:57:16,00:10:40,73,205,205,73,Lost,Twitch Integration
Noita Soler TI 14-25,2024-10-27 13:13:44,00:28:11,79,188,188,79,Lost,Twitch Integration
Noita Soler TI 10-20,2024-10-31 06:21:32,00:17:34,62,246,246,62,Lost,Twitch Integration
Noita Nightmare Run Ghost Transformation,2024-10-31 08:43:32,00:23:03,196,62,62,196,Lost,Nightmare
Noita Nightmare Run Ghost Transformation Attempt 2,2024-10-31 09:06:51,02:01:14,175,69,69,175,Lost,Nightmare
Noita Soler TI 13-37,2024-10-31 11:26:36,00:30:54,124,137,124,137,Won,Twitch Integration
Noita Soler TI 10-31,2024-10-31 12:05:05,00:19:08,61,122,122,61,Lost,Twitch Integration
Noita Dark Gourd Moon Run,2024-11-01 06:34:33,01:45:30,271,39,39,271,Lost,Other
Noita Dark Gourd Moon Run Attempt 2,2024-11-01 08:31:34,05:18:33,260,64,260,64,Won,Other
Noita Soler TI 18-25,2024-11-02 06:54:08,00:11:14,70,201,201,70,Lost,Twitch Integration
Noita Soler TI 15-22 2 Attempts,2024-11-02 07:09:18,00:23:14,83,196,196,83,Lost,Twitch Integration
Noita Soler TI 12-24,2024-11-03 12:35:35,00:16:45,71,208,208,71,Lost,Twitch Integration
Noita All Boss Daily Run,2024-11-09 07:41:20,06:34:28,358,36,358,36,Won,Daily Run
Noita Soler TI 10-38,2024-11-10 07:37:47,00:19:16,75,167,167,75,Lost,Twitch Integration
Noita Worst Perks Tower Daily Run,2024-11-10 09:05:49,03:46:02,290,70,290,70,Won,Daily Run
Noita Soler TI 12-27,2024-11-10 13:09:26,00:25:55,60,188,188,60,Lost,Twitch Integration
Noita Soler TI 6-34,2024-11-14 08:57:27,00:24:29,52,178,178,52,Lost,Twitch Integration
Noita Lost Mages Run,2024-11-14 10:24:56,03:48:27,290,28,290,28,Won,Other
Noita Soler TI 10-37,2024-11-15 07:53:33,00:21:01,82,186,186,82,Lost,Twitch Integration
Noita 11 Orb Run With Mandatory Spells,2024-11-15 09:12:05,03:44:10,355,44,355,44,Won,Other
Noita Soler TI 9-22 2 Attempts,2024-11-15 13:21:14,00:27:35,63,189,189,63,Lost,Twitch Integration
Noita Soler TI 18-26,2024-11-16 07:52:56,00:08:51,52,173,173,52,Lost,Twitch Integration
Noita Max Roulette Daily Run,2024-11-16 08:48:02,04:08:25,390,41,390,41,Won,Daily Run
Noita Soler TI 15-39,2024-11-17 04:33:20,00:17:51,171,159,171,159,Won,Twitch Integration
Noita 10 Wins In A Row,2024-11-17 04:53:54,00:10:28,245,94,94,245,Lost,Other
Noita 4 Minutes Or Less Win 10 attempts,2024-11-17 07:30:46,01:03:22,233,98,98,233,Lost,Other
Noita 20 Win Streak Or More,2024-11-17 10:32:13,00:11:13,220,106,106,220,Lost,Other
Noita Soler TI 13-37,2024-11-17 16:21:12,00:10:38,137,213,213,137,Lost,Twitch Integration
Noita Soler TI 18-25,2024-11-18 03:27:29,00:15:09,331,293,293,331,Lost,Twitch Integration
Noita Soler TI 18-25,2024-11-29 07:39:02,00:21:49,83,193,193,83,Lost,Twitch Integration
Noita Roulette Daily Run,2024-11-29 08:03:09,04:25:52,405,61,405,61,Won,Daily Run
Noita Daily Run Creating A Science Lab,2024-11-30 07:35:29,08:42:35,387,34,387,34,Won,Daily Run
Noita Soler TI 13-37,2024-12-01 05:41:48,00:15:28,62,155,155,62,Lost,Twitch Integration
Noita Soler TI 13-37,2024-12-01 06:41:10,00:19:59,68,188,68,188,Won,Twitch Integration
Noita Soler TI 13-37,2024-12-06 06:38:33,00:20:54,72,142,142,72,Lost,Twitch Integration
Noita All Boss Chaingun Daily Run,2024-12-06 07:13:25,07:00:40,321,40,321,40,Won,Daily Run
Noita Soler TI 8-22,2024-12-07 07:15:59,00:14:33,56,238,238,56,Lost,Twitch Integration
Noita Soler TI 13-25,2024-12-07 08:21:52,00:17:33,59,204,204,59,Lost,Twitch Integration
Noita Power Hour 7 Wins,2024-12-07 08:46:28,01:24:01,94,135,135,94,Lost,Power Hour
Noita Daily Run Chat Chooses Perks,2024-12-07 10:46:54,01:52:58,186,20,186,20,Won,Daily Run
Noita Soler TI 13-37,2024-12-08 07:51:40,00:11:58,67,137,137,67,Lost,Twitch Integration
Noita Soler TI Fish Quest 60-90,2024-12-08 09:40:26,00:47:01,58,77,77,58,Lost,Twitch Integration
Noita Soler TI 18-25,2024-12-08 12:04:13,00:17:31,59,176,176,59,Lost,Twitch Integration
Noita New Game +5 Daily Run Different Dmg Wands,2024-12-14 07:24:39,08:16:39,332,34,332,34,Won,Daily Run
Noita Soler TI 18-26,2024-12-15 07:55:20,00:12:59,61,186,61,186,Won,Twitch Integration
Noita Soler TI 18-25,2024-12-15 08:39:31,00:11:31,63,173,173,63,Lost,Twitch Integration
Noita Nightmare Mode Run,2024-12-15 09:13:58,00:25:19,157,61,61,157,Lost,Nightmare
Noita Nightmare Mode Run Attempt 2,2024-12-15 09:39:35,03:42:05,149,77,149,77,Won,Nightmare
Noita Soler TI 15-25,2024-12-15 13:35:45,00:13:51,62,167,167,62,Lost,Twitch Integration
Noita Soler TI 18-25,2024-12-20 07:56:41,00:12:17,56,175,175,56,Lost,Twitch Integration
Noita 3 Roll Ask The Gods Daily Run,2024-12-20 09:47:33,05:33:50,183,30,183,30,Won,Daily Run
Noita Glass Cannon Sun Quest Daily Run,2024-12-21 08:37:23,07:20:11,272,80,272,80,Won,Daily Run
Noita Power Words 10 Runs,2024-12-22 08:47:09,00:41:55,48,209,209,48,Lost,Power Words
Noita Power Words 10 Runs Attempt 2,2024-12-22 09:43:40,00:30:11,54,239,239,54,Lost,Power Words
Noita Power Words 15 Attempts,2024-12-22 11:46:21,00:54:59,34,158,158,34,Lost,Power Words
Noita Soler TI 14-24,2024-12-22 13:26:09,00:16:12,63,201,201,63,Lost,Twitch Integration
Noita Daily Run No HM Drowning Santa,2024-12-25 08:12:09,03:46:11,378,26,378,26,Won,Daily Run
Noita PowerWords 7 Tries,2024-12-25 12:14:46,00:34:03,61,174,174,61,Lost,Power Words
Factorio Make It To Gleba,2024-12-27 07:12:18,03:26:59,64,24,64,24,Won,Factorio
Noita Soler TI 16-26,2024-12-28 09:19:59,00:14:54,57,219,219,57,Lost,Twitch Integration
Noita Power Words 10 Attempts,2024-12-28 13:30:28,00:44:08,30,152,152,30,Lost,Power Words
Noita Power Words 10 Lives,2024-12-28 14:43:14,00:54:07,29,183,183,29,Lost,Power Words
Noita Soler TI 12-32,2024-12-29 08:28:19,00:13:37,55,187,187,55,Lost,Twitch Integration
Noita 2024 Brainrot Run,2024-12-29 09:44:47,07:52:08,357,48,357,48,Won,Other
Noita Soler TI 20-24,2024-12-29 17:37:20,00:08:58,73,167,167,73,Lost,Twitch Integration
Noita Soler TI 13-37,2025-01-04 06:55:33,00:16:31,65,154,154,65,Lost,Twitch Integration
Noita Power Words 10 Runs,2025-01-04 09:15:56,00:32:15,35,217,217,35,Lost,Power Words
Noita Roulette Daily Run,2025-01-04 10:01:26,04:57:28,384,33,384,33,Won,Daily Run
Noita Soler TI 13-37,2025-01-05 07:11:23,00:08:13,54,160,160,54,Lost,Twitch Integration
Noita Creating A Dark Sun No Parallel Worlds Daily Run,2025-01-05 07:57:58,06:00:30,437,26,437,26,Won,Daily Run
Noita Soler TI 18-25,2025-01-10 09:02:41,00:14:39,39,180,180,39,Lost,Twitch Integration
Noita Wand Jenga Challenge,2025-01-10 10:03:43,02:04:19,254,39,39,254,Lost,Other
Noita Soler TI 10-18,2025-01-10 12:09:40,00:18:26,79,200,200,79,Lost,Twitch Integration
Noita Soler TI 3-37,2025-01-10 14:03:51,00:09:18,78,182,182,78,Lost,Twitch Integration
Noita All Boss Avarice Diamond Daily Run,2025-01-11 07:35:26,06:35:25,353,20,353,20,Won,Daily Run
Noita Test Best,2025-01-11 21:18:31,00:01:13,1,2,1,2,Won,Other
Noita Soler TI 18-26,2025-01-12 07:41:45,00:08:19,59,218,59,218,Won,Twitch Integration
Noita Soler TI 18-26,2025-01-12 08:06:31,00:19:33,112,230,230,112,Lost,Twitch Integration
Noita Nightmare 7 Orb Run,2025-01-12 08:49:37,05:01:46,213,85,213,85,Won,Nightmare
Noita Soler TI 19-27,2025-01-12 14:01:05,00:21:51,98,161,161,98,Lost,Twitch Integration
Noita New Game+28 Daily Run,2025-01-18 03:11:58,13:37:44,309,46,309,46,Won,Daily Run
Noita Soler TI 13-37,2025-01-19 09:37:07,00:16:20,53,226,226,53,Lost,Twitch Integration
Noita Music Chests Daily Run,2025-01-19 10:25:12,04:01:01,386,27,386,27,Won,Daily Run
Factorio Do I kill NEARBY nest before stream end?,2025-01-23 09:09:11,00:55:12,88,18,88,18,Won,Factorio
Noita Ban 1 Spell Per HM Daily Run,2025-01-25 06:45:06,04:32:16,399,22,399,22,Won,Daily Run
Noita Soler TI 13-37,2025-01-25 12:01:22,00:18:56,40,172,40,172,Won,Twitch Integration
Noita Max Roulette Daily Run,2025-01-26 06:26:21,06:08:38,342,28,342,28,Won,Daily Run
Noita Soler TI 18-25,2025-01-26 12:38:51,00:14:19,67,164,164,67,Lost,Twitch Integration
Noita Soler TI 18-25,2025-01-31 08:55:25,00:22:04,68,221,68,221,Won,Twitch Integration
Noita Pacifist Daily Run,2025-01-31 10:37:39,01:00:18,176,78,176,78,Won,Daily Run
Noita No Gold Run,2025-01-31 11:50:10,01:07:12,147,144,144,147,Lost,Other
Noita Soler TI 18-25,2025-02-01 10:37:57,00:21:22,74,216,74,216,Won,Twitch Integration
Noita Soler TI 18-24,2025-02-01 11:14:32,00:18:16,66,183,183,66,Lost,Twitch Integration
Noita Worst Trade Deal Daily Run,2025-02-02 07:35:49,05:15:57,388,37,37,388,Lost,Daily Run
Noita Soler TI 18-25,2025-02-02 13:42:26,00:15:15,84,207,207,84,Lost,Twitch Integration
Noita Soler TI 18-25,2025-02-02 14:12:36,00:14:30,94,200,200,94,Lost,Twitch Integration
ONI Building Petro Boiler,2025-02-05 09:30:01,04:09:56,91,24,91,24,Won,Oxygen Not Included
Noita Soler TI 12-28,2025-02-07 07:12:30,00:07:41,60,208,208,60,Lost,Twitch Integration
Noita Progress Bingo,2025-02-07 08:42:59,06:07:19,331,34,331,34,Won,Other
Noita Power Words 4 Lives,2025-02-08 07:58:08,00:22:31,86,224,224,86,Lost,Power Words
Noita Daily Roulette Run,2025-02-08 08:35:11,06:19:17,432,42,432,42,Won,Daily Run
Noita Soler TI 12-28,2025-02-08 14:54:59,00:14:40,77,189,77,189,Won,Twitch Integration
Noita Super Bowl Fish Quest Daily Run,2025-02-09 07:52:59,05:52:05,377,46,377,46,Won,Daily Run
Noita Soler TI 22-25,2025-02-09 13:49:34,00:13:48,99,172,172,99,Lost,Twitch Integration
Noita Breaking Kolmi's Heart Daily Run,2025-02-14 07:15:59,04:57:51,318,32,318,32,Won,Daily Run
Noita Soler TI 14-32,2025-02-15 07:52:08,00:18:12,63,188,188,63,Lost,Twitch Integration
Noita Soler TI 13-32,2025-02-15 08:21:26,00:14:31,63,199,199,63,Lost,Twitch Integration
Noita Max Roulette Daily Run,2025-02-15 08:48:18,06:27:38,422,37,422,37,Won,Daily Run
Noita Killing Fogotten Bosses Without The Eye,2025-02-16 07:33:31,06:23:56,438,41,438,41,Won,Other
Noita Soler TI 12-22,2025-02-16 13:57:43,00:18:02,51,185,185,51,Lost,Twitch Integration
Noita All Bosses On Cursed Fungal Shift Run,2025-02-22 07:02:46,02:50:54,227,209,209,227,Lost,Other
Noita Soler TI 0-45,2025-02-22 10:39:46,00:19:32,56,181,56,181,Won,Twitch Integration
Noita Soler TI 13-33,2025-02-22 11:47:53,00:23:21,74,214,214,74,Lost,Twitch Integration
Noita Daily Run,2025-02-22 12:34:42,00:42:49,234,36,234,36,Won,Daily Run
Noita Poly Cloud Daily Run,2025-02-23 07:45:09,07:03:27,334,35,334,35,Won,Daily Run
Noita Soler TI 18-25,2025-02-23 14:50:58,00:30:35,62,181,181,62,Lost,Twitch Integration
Noita Gold To Bosses Run,2025-02-28 07:54:00,05:01:04,276,39,39,276,Lost,Other
Noita Soler TI 12-27,2025-02-28 13:16:26,00:13:06,42,175,175,42,Lost,Twitch Integration
Noita Soler TI 12-27,2025-02-28 14:11:13,00:10:17,43,169,169,43,Lost,Twitch Integration
Noita Soler TI 13-37,2025-03-01 08:31:32,00:08:05,76,179,179,76,Lost,Twitch Integration
Noita Roulette Daily Run,2025-03-01 09:05:49,05:19:52,461,44,461,44,Won,Daily Run
Noita Soler TI 14-27,2025-03-01 14:27:26,00:20:29,94,204,94,204,Won,Twitch Integration
Noita Power Words 10 Attempts,2025-03-02 08:05:34,00:40:47,52,248,248,52,Lost,Power Words
Noita Random Start Point 11 Orb Daily Run,2025-03-02 09:22:41,00:16:09,252,68,68,252,Lost,Daily Run
Noita Random Start Point 11 Orb Daily Run Attempt #2,2025-03-02 09:42:31,00:24:43,197,81,81,197,Lost,Daily Run
Noita Random Starting Point Run Attempt #3,2025-03-02 10:14:25,00:22:13,206,115,115,206,Lost,Random Start
Noita Random Starting Point Run 30 Grace Period,2025-03-02 11:05:15,00:04:30,116,147,147,116,Lost,Random Start
Noita Soler TI 18-25,2025-03-02 13:53:10,00:28:17,111,189,189,111,Lost,Twitch Integration
Noita Healthium World Daily Run,2025-03-07 07:46:46,06:14:26,346,24,346,24,Won,Daily Run
Noita Soler TI 13-27,2025-03-08 07:04:48,00:16:18,82,249,82,249,Won,Twitch Integration
Noita Roulette + Ask The Gods Daily Run,2025-03-08 07:37:34,05:43:36,438,43,43,438,Lost,Daily Run
Noita Soler TI 9-11,2025-03-08 13:34:32,00:23:44,99,232,232,99,Lost,Twitch Integration
Noita Soler TI 13-27,2025-03-09 09:15:26,00:17:40,124,253,253,124,Lost,Twitch Integration
Noita Nightmare Run,2025-03-09 10:54:23,00:31:57,237,82,82,237,Lost,Nightmare
Noita Nightmare Run Forced Perks,2025-03-09 11:28:30,03:09:31,165,146,165,146,Won,Nightmare
Noita Soler TI 13-37,2025-03-09 14:47:24,00:19:59,118,156,156,118,Lost,Twitch Integration
Noita Giga Beam Daily Run,2025-03-13 06:27:26,07:07:11,366,34,366,34,Won,Daily Run
Noita Soler TI 18-25,2025-03-14 06:51:09,00:22:26,71,231,231,71,Lost,Twitch Integration
Noita Blood Moon Daily Run,2025-03-14 08:02:53,00:16:33,263,19,19,263,Lost,Daily Run
Noita Blood Moon Run,2025-03-14 08:19:47,03:55:05,349,51,349,51,Won,Other
Noita Soler Ti 12-30,2025-03-15 05:03:20,00:33:08,74,170,170,74,Lost,Twitch Integration
Noita Soler TI 12-30,2025-03-15 05:56:15,00:20:24,71,175,175,71,Lost,Twitch Integration
Noita Max Roulette Ask The Gods Daily Run,2025-03-15 06:49:02,07:54:18,403,50,403,50,Won,Daily Run
Noita Power Words 10 Attempts,2025-03-16 06:57:31,00:36:49,110,253,253,110,Lost,Power Words
Noita St. Patrick's Day Run,2025-03-16 08:01:56,03:53:15,408,39,408,39,Won,Other
Noita Soler TI 18-26,2025-03-16 12:00:28,00:31:13,108,232,108,232,Won,Twitch Integration
Noita Soler TI 12-24,2025-03-21 05:58:20,00:15:14,57,197,197,57,Lost,Twitch Integration
Noita Soler TI 13-30,2025-03-22 07:34:39,00:13:28,58,202,58,202,Won,Twitch Integration
Noita No Purchases All Boss Daily Run,2025-03-22 08:27:44,05:04:25,417,49,49,417,Lost,Daily Run
Noita Soler TI 22-29,2025-03-23 07:00:34,00:16:56,150,161,161,150,Lost,Twitch Integration
Noita Perk Duping Daily Run,2025-03-23 07:45:14,06:05:37,415,71,415,71,Won,Daily Run
Noita Nightmare Run No Perks,2025-03-27 06:43:54,02:44:55,120,160,160,120,Lost,Nightmare
Noita Random Spawn Location Run,2025-03-27 09:58:28,00:10:11,115,104,104,115,Lost,Other
Noita Random Spawn Location Rematch Run,2025-03-27 10:10:07,01:47:36,98,166,166,98,Lost,Other
Noita Soler TI 13-37,2025-03-27 12:22:33,00:17:07,84,163,163,84,Lost,Twitch Integration
Noita Random Start Run,2025-03-28 06:44:47,00:19:20,178,122,122,178,Lost,Random Start
Noita Random Starting Point Run Attempt 2,2025-03-28 07:04:30,01:57:25,141,158,141,158,Won,Random Start
Noita Random Start Run,2025-03-28 09:20:39,00:25:31,118,131,131,118,Lost,Random Start
Noita Random Spawn Run Again,2025-03-28 09:47:45,02:34:36,111,126,111,126,Won,Other
Noita Soler TI 12-26,2025-03-28 12:35:13,00:14:55,101,211,211,101,Lost,Twitch Integration
Noita 11 Orb Crazy Shift Run DMG = Shift,2025-03-29 07:17:25,03:27:40,161,174,161,174,Won,Other
Noita Soler TI 18-25,2025-03-29 12:05:52,00:13:46,72,178,178,72,Lost,Twitch Integration
Noita Soler TI 18-25,2025-03-29 12:48:39,00:12:33,79,176,176,79,Lost,Twitch Integration
