title,date,duration,yes_votes,no_votes,winners,losers,outcome
Noita Soler TI 13-37,2024-08-04 07:04:47,0 days 00:23:10,87,205,205,87,BetOutcome.LOSS
Noita Boss Rush Daily Run,2024-08-04 07:41:27,0 days 04:52:41,264,61,61,264,BetOutcome.LOSS
Noita Soler TI 13-17 5 Attempts,2024-08-04 12:51:38,0 days 00:23:08,91,149,149,91,BetOutcome.LOSS
Noita Soler TI 15-35,2024-08-08 05:58:18,0 days 00:10:04,69,133,133,69,BetOutcome.LOSS
Noita Soler TI 15-35,2024-08-08 06:34:20,0 days 00:14:42,66,171,171,66,BetOutcome.LOSS
Noita Soler TI 15-35 2 Attempts,2024-08-08 06:50:03,0 days 00:16:08,103,120,120,103,BetOutcome.LOSS
Noita Soler TI 15-35 3 Attempts,2024-08-08 07:06:24,0 days 00:28:26,110,101,110,101,BetOutcome.WIN
Noita Nightmare 7 Orb Run,2024-08-08 07:38:06,0 days 04:21:55,249,79,249,79,BetOutcome.WIN
Noita Soler TI 10-25 3 attempts,2024-08-08 12:01:13,0 days 00:19:06,54,103,103,54,BetOutcome.LOSS
Noita Soler TI 10-25,2024-08-09 06:27:38,0 days 00:13:58,63,250,250,63,BetOutcome.LOSS
Noita Soler TI 10-25,2024-08-09 07:01:13,0 days 00:21:54,59,250,250,59,BetOutcome.LOSS
Noita Soler TI 10-25 3 Attempts,2024-08-09 07:24:53,0 days 00:27:14,82,158,82,158,BetOutcome.WIN
Noita Roulette Daily Run,2024-08-09 08:13:52,0 days 06:08:46,371,44,371,44,BetOutcome.WIN
Noita Fish Quest Daily Run,2024-08-10 06:35:31,0 days 05:22:55,386,39,386,39,BetOutcome.WIN
Noita Soler TI 6 - 36,2024-08-10 12:02:09,0 days 00:15:37,51,180,51,180,BetOutcome.WIN
Noita Soler TI 1v1 12-30,2024-08-10 12:23:46,0 days 00:16:50,90,170,90,170,BetOutcome.WIN
Noita Soler TI 15-25,2024-08-16 06:23:00,0 days 00:18:42,82,216,216,82,BetOutcome.LOSS
Noita 11 Orb No Perks Daily Run,2024-08-16 07:39:49,0 days 04:10:30,319,54,319,54,BetOutcome.WIN
Noita Soler TI 13-29,2024-08-17 06:38:02,0 days 00:14:17,79,202,202,79,BetOutcome.LOSS
Noita Soler TI 13-29,2024-08-17 07:28:21,0 days 00:16:19,86,178,86,178,BetOutcome.WIN
Noita Roulette Daily Run,2024-08-17 08:00:19,0 days 05:09:36,404,33,404,33,BetOutcome.WIN
Noita Soler TI 11-23,2024-08-18 07:03:35,0 days 00:15:40,50,229,229,50,BetOutcome.LOSS
Noita Star Nursery Daily Run,2024-08-18 07:46:04,0 days 05:57:51,315,36,315,36,BetOutcome.WIN
Noita Soler TI 13-27,2024-08-18 13:50:04,0 days 00:27:19,81,167,81,167,BetOutcome.WIN
Noita Soler TI 13-27,2024-08-22 06:32:19,0 days 00:14:15,50,185,185,50,BetOutcome.LOSS
Noita No PW NG+ Gamba,2024-08-22 06:58:25,0 days 05:02:19,298,27,298,27,BetOutcome.WIN
Noita Soler TI 3-33,2024-08-22 12:03:11,0 days 00:17:12,66,178,66,178,BetOutcome.WIN
Noita All Boss Daily Run No PW,2024-08-23 06:18:21,0 days 06:38:50,339,21,339,21,BetOutcome.WIN
Noita Finding Jarate Sniper Daily Run,2024-08-24 06:29:31,0 days 01:22:48,371,30,371,30,BetOutcome.WIN
Noita Creating Fools Gold Holes,2024-08-24 08:29:42,0 days 03:28:25,274,14,274,14,BetOutcome.WIN
Noita Soler 13-37,2024-08-24 12:04:14,0 days 00:13:56,84,89,84,89,BetOutcome.WIN
Noita Soler TI 18-26,2024-08-24 12:30:06,0 days 00:10:52,96,130,130,96,BetOutcome.LOSS
Noita Midas At Home Daily Run,2024-08-29 05:23:28,0 days 05:36:59,352,22,352,22,BetOutcome.WIN
Noita Soler TI 18-26,2024-08-29 11:05:44,0 days 00:22:41,43,135,135,43,BetOutcome.LOSS
Noita Soler TI 20-30,2024-08-31 06:33:03,0 days 00:17:25,61,165,165,61,BetOutcome.LOSS
Noita Daily Run Ending With Boss Rush,2024-08-31 07:21:24,0 days 02:02:02,186,103,103,186,BetOutcome.LOSS
Noita Soler TI 20-30,2024-08-31 13:05:42,0 days 00:09:57,66,104,104,66,BetOutcome.LOSS
Noita Soler TI 21-29,2024-09-01 04:50:12,0 days 00:22:08,65,124,124,65,BetOutcome.LOSS
Noita True Invisibility Daily Run,2024-09-01 05:55:20,0 days 04:53:13,323,17,323,17,BetOutcome.WIN
Noita Soler TI 12-28,2024-09-01 10:53:30,0 days 00:20:02,56,188,188,56,BetOutcome.LOSS
Noita Soler TI 21-29,2024-09-05 06:36:42,0 days 00:04:58,70,157,157,70,BetOutcome.LOSS
Noita Perk Duping Bad Perks Daily Run,2024-09-05 07:28:20,0 days 05:47:31,323,22,323,22,BetOutcome.WIN
Noita Kidney Stone Daily Run,2024-09-06 05:49:54,0 days 05:23:01,349,17,349,17,BetOutcome.WIN
Noita Soler TI 18-25,2024-09-06 11:24:23,0 days 00:14:48,70,158,158,70,BetOutcome.LOSS
Noita Soler TI 13-34,2024-09-07 05:26:28,0 days 00:10:37,52,129,129,52,BetOutcome.LOSS
Noita Farming Health Daily Run,2024-09-07 05:54:27,0 days 01:21:53,361,23,23,361,BetOutcome.LOSS
Noita Roulette Run,2024-09-07 07:34:50,0 days 04:38:05,301,43,301,43,BetOutcome.WIN
Noita Soler TI 13-37,2024-09-08 03:59:49,0 days 00:16:34,56,125,56,125,BetOutcome.WIN
Noita Soler TI 13-37,2024-09-08 09:54:00,0 days 00:22:12,92,180,180,92,BetOutcome.LOSS
Noita Daily Run Building Complex Waypoint Wand,2024-09-13 04:47:51,0 days 07:26:52,297,47,297,47,BetOutcome.WIN
Noita Soler TI 12-24 2 Attempts,2024-09-14 04:55:30,0 days 00:25:03,74,139,74,139,BetOutcome.WIN
Noita All Boss No Payloads Daily Run,2024-09-14 05:59:52,0 days 05:38:02,350,25,350,25,BetOutcome.WIN
Noita Soler TI 13-37,2024-09-14 11:39:35,0 days 00:16:39,61,113,113,61,BetOutcome.LOSS
Noita Soler TI 12-32,2024-09-15 03:47:58,0 days 00:13:22,65,121,121,65,BetOutcome.LOSS
Noita Giga Nuke Quest Daily Run,2024-09-15 04:35:09,0 days 04:58:55,296,23,296,23,BetOutcome.WIN
Noita Soler TI 12-32,2024-09-15 09:36:29,0 days 00:18:34,63,191,191,63,BetOutcome.LOSS
Noita Soler TI 6-31,2024-09-19 04:59:07,0 days 00:10:13,51,184,184,51,BetOutcome.LOSS
Noita Infinite Healing Stone Daily Run,2024-09-19 05:19:49,0 days 06:00:12,398,35,398,35,BetOutcome.WIN
Noita Soler TI 13-31,2024-09-20 05:01:25,0 days 00:19:02,74,188,188,74,BetOutcome.LOSS
Noita Nightmare Run For Tier 10 Wand,2024-09-20 05:45:30,0 days 05:27:49,192,57,192,57,BetOutcome.WIN
Noita Soler TI 12-28,2024-09-20 11:14:16,0 days 00:26:53,63,166,166,63,BetOutcome.LOSS
Noita 1 Million Health Daily Run,2024-09-21 05:07:44,0 days 06:40:02,381,38,38,381,BetOutcome.LOSS
Noita Soler TI 8-20,2024-09-21 11:52:09,0 days 00:19:13,60,228,228,60,BetOutcome.LOSS
Noita Soler TI 15-20,2024-09-27 05:09:03,0 days 00:14:42,66,194,194,66,BetOutcome.LOSS
Noita Soler TI 9-27,2024-09-27 06:25:40,0 days 00:10:21,66,185,185,66,BetOutcome.LOSS
Noita Soler TI 9-27,2024-09-27 09:47:03,0 days 00:09:16,66,165,165,66,BetOutcome.LOSS
Noita Soler TI 13-37,2024-09-27 11:04:22,0 days 00:19:15,78,90,90,78,BetOutcome.LOSS
Noita Daily Run New Gamba +,2024-09-28 05:52:28,0 days 05:38:01,395,33,395,33,BetOutcome.WIN
Noita Soler TI 11-20 3 Attempts,2024-09-28 11:35:57,0 days 00:17:51,77,147,147,77,BetOutcome.LOSS
Noita Monster Powder Shift Daily Run,2024-09-29 05:40:53,0 days 07:13:08,355,40,355,40,BetOutcome.WIN
Noita Daily Run Sun Killing 14 Bosses,2024-10-03 06:06:37,0 days 07:07:58,295,47,295,47,BetOutcome.WIN
Noita Soler TI 18-25,2024-10-04 06:51:07,0 days 00:23:09,69,232,69,232,BetOutcome.WIN
Noita Soler TI 18-25,2024-10-04 07:56:26,0 days 00:15:58,79,195,195,79,BetOutcome.LOSS
Noita Nightmare Run Skip TWWE,2024-10-04 08:34:17,0 days 00:33:25,167,83,83,167,BetOutcome.LOSS
Noita Nightmare Run Skip Tinker Perk Attempt 2,2024-10-04 09:08:14,0 days 01:34:29,130,73,73,130,BetOutcome.LOSS
Noita Soler TI 15-20,2024-10-04 10:45:32,0 days 00:17:13,79,190,190,79,BetOutcome.LOSS
Noita Chainbolt Wisp Daily Run,2024-10-05 06:49:33,0 days 05:58:15,342,37,342,37,BetOutcome.WIN
Noita Soler TI 18-25,2024-10-05 12:53:31,0 days 00:13:31,76,179,179,76,BetOutcome.LOSS
Noita Soler TI 12-27,2024-10-10 12:00:57,0 days 00:19:33,44,128,44,128,BetOutcome.WIN
Noita Golden Statue Nugget Daily Run,2024-10-11 06:26:10,0 days 06:31:55,398,38,398,38,BetOutcome.WIN
Noita Soler TI 13-37,2024-10-12 06:09:12,0 days 00:24:38,90,177,90,177,BetOutcome.WIN
Noita Soler TI 12-27,2024-10-12 06:52:16,0 days 00:11:19,45,212,212,45,BetOutcome.LOSS
Noita ChatGPT Guided Daily Run,2024-10-12 07:38:28,0 days 02:15:57,269,47,47,269,BetOutcome.LOSS
Noita Soler TI 10-30,2024-10-12 11:47:14,0 days 00:16:43,61,192,192,61,BetOutcome.LOSS
Noita 1v1 Yolk,2024-10-13 07:18:02,0 days 00:52:41,71,182,182,71,BetOutcome.LOSS
Noita 1v1 Yolk Bingo/Lockout Rematch,2024-10-13 08:14:59,0 days 01:17:43,70,261,70,261,BetOutcome.WIN
Noita Yolk 1v1 Bingo/Lockout Rematch,2024-10-13 09:45:11,0 days 01:33:27,88,202,202,88,BetOutcome.LOSS
Noita Soler TI 5-35,2024-10-17 05:43:06,0 days 00:15:29,89,200,200,89,BetOutcome.LOSS
Noita Soler TI 5-35,2024-10-17 06:25:39,0 days 00:15:46,77,226,226,77,BetOutcome.LOSS
Noita Nightmare Run Skipping Tinker Perk,2024-10-17 06:44:50,0 days 02:50:05,148,117,148,117,BetOutcome.WIN
Noita Soler TI 5-35,2024-10-17 10:05:52,0 days 00:20:43,68,178,178,68,BetOutcome.LOSS
Noita Max Roulette Run,2024-10-18 07:38:16,0 days 05:37:18,345,57,345,57,BetOutcome.WIN
Noita Soler TI 13-37,2024-10-18 13:23:16,0 days 00:14:27,58,107,58,107,BetOutcome.WIN
Noita Soler TI 12-28,2024-10-19 07:03:23,0 days 00:19:30,60,226,60,226,BetOutcome.WIN
Noita Diminution Mist Build Daily Run,2024-10-19 08:25:17,0 days 06:11:54,349,37,349,37,BetOutcome.WIN
Noita Soler TI 12-27,2024-10-20 06:02:36,0 days 00:03:43,40,139,139,40,BetOutcome.LOSS
Noita Infinite HP No HM Daily Run,2024-10-24 07:24:42,0 days 06:06:52,297,63,297,63,BetOutcome.WIN
Noita Soler TI 10-30,2024-10-25 07:02:13,0 days 00:11:45,46,197,197,46,BetOutcome.LOSS
Noita No PW New Game++++ Daily Run,2024-10-25 07:40:20,0 days 06:13:12,304,71,304,71,BetOutcome.WIN
Noita Soler TI 12-22,2024-10-27 07:09:18,0 days 00:19:13,46,206,46,206,BetOutcome.WIN
Noita 1v1 Bingo JayToTheJee,2024-10-27 07:52:58,0 days 01:48:50,48,105,48,105,BetOutcome.WIN
Noita 1v1 Bingo JayToTheJee Game 2,2024-10-27 09:49:38,0 days 02:10:30,159,89,159,89,BetOutcome.WIN
Noita Soler TI 15-25,2024-10-27 12:57:16,0 days 00:10:40,73,205,205,73,BetOutcome.LOSS
Noita Soler TI 14-25,2024-10-27 13:13:44,0 days 00:28:11,79,188,188,79,BetOutcome.LOSS
Noita Soler TI 10-20,2024-10-31 06:21:32,0 days 00:17:34,62,246,246,62,BetOutcome.LOSS
Noita Nightmare Run Ghost Transformation,2024-10-31 08:43:32,0 days 00:23:03,196,62,62,196,BetOutcome.LOSS
Noita Nightmare Run Ghost Transformation Attempt 2,2024-10-31 09:06:51,0 days 02:01:14,175,69,69,175,BetOutcome.LOSS
Noita Soler TI 13-37,2024-10-31 11:26:36,0 days 00:30:54,124,137,124,137,BetOutcome.WIN
Noita Soler TI 10-31,2024-10-31 12:05:05,0 days 00:19:08,61,122,122,61,BetOutcome.LOSS
Noita Dark Gourd Moon Run,2024-11-01 06:34:33,0 days 01:45:30,271,39,39,271,BetOutcome.LOSS
Noita Dark Gourd Moon Run Attempt 2,2024-11-01 08:31:34,0 days 05:18:33,260,64,260,64,BetOutcome.WIN
Noita Soler TI 18-25,2024-11-02 06:54:08,0 days 00:11:14,70,201,201,70,BetOutcome.LOSS
Noita Soler TI 15-22 2 Attempts,2024-11-02 07:09:18,0 days 00:23:14,83,196,196,83,BetOutcome.LOSS
Noita Soler TI 12-24,2024-11-03 12:35:35,0 days 00:16:45,71,208,208,71,BetOutcome.LOSS
Noita All Boss Daily Run,2024-11-09 07:41:20,0 days 06:34:28,358,36,358,36,BetOutcome.WIN
Noita Soler TI 10-38,2024-11-10 07:37:47,0 days 00:19:16,75,167,167,75,BetOutcome.LOSS
Noita Worst Perks Tower Daily Run,2024-11-10 09:05:49,0 days 03:46:02,290,70,290,70,BetOutcome.WIN
Noita Soler TI 12-27,2024-11-10 13:09:26,0 days 00:25:55,60,188,188,60,BetOutcome.LOSS
Noita Soler TI 6-34,2024-11-14 08:57:27,0 days 00:24:29,52,178,178,52,BetOutcome.LOSS
Noita Lost Mages Run,2024-11-14 10:24:56,0 days 03:48:27,290,28,290,28,BetOutcome.WIN
Noita Soler TI 10-37,2024-11-15 07:53:33,0 days 00:21:01,82,186,186,82,BetOutcome.LOSS
Noita 11 Orb Run With Mandatory Spells,2024-11-15 09:12:05,0 days 03:44:10,355,44,355,44,BetOutcome.WIN
Noita Soler TI 9-22 2 Attempts,2024-11-15 13:21:14,0 days 00:27:35,63,189,189,63,BetOutcome.LOSS
Noita Soler TI 18-26,2024-11-16 07:52:56,0 days 00:08:51,52,173,173,52,BetOutcome.LOSS
Noita Max Roulette Daily Run,2024-11-16 08:48:02,0 days 04:08:25,390,41,390,41,BetOutcome.WIN
Noita Soler TI 15-39,2024-11-17 04:33:20,0 days 00:17:51,171,159,171,159,BetOutcome.WIN
Noita 10 Wins In A Row,2024-11-17 04:53:54,0 days 00:10:28,245,94,94,245,BetOutcome.LOSS
Noita 4 Minutes Or Less Win 10 attempts,2024-11-17 07:30:46,0 days 01:03:22,233,98,98,233,BetOutcome.LOSS
Noita 20 Win Streak Or More,2024-11-17 10:32:13,0 days 00:11:13,220,106,106,220,BetOutcome.LOSS
Noita Soler TI 13-37,2024-11-17 16:21:12,0 days 00:10:38,137,213,213,137,BetOutcome.LOSS
Noita Soler TI 18-25,2024-11-18 03:27:29,0 days 00:15:09,331,293,293,331,BetOutcome.LOSS
Noita Soler TI 18-25,2024-11-29 07:39:02,0 days 00:21:49,83,193,193,83,BetOutcome.LOSS
Noita Roulette Daily Run,2024-11-29 08:03:09,0 days 04:25:52,405,61,405,61,BetOutcome.WIN
Noita Daily Run Creating A Science Lab,2024-11-30 07:35:29,0 days 08:42:35,387,34,387,34,BetOutcome.WIN
Noita Soler TI 13-37,2024-12-01 05:41:48,0 days 00:15:28,62,155,155,62,BetOutcome.LOSS
Noita Soler TI 13-37,2024-12-01 06:41:10,0 days 00:19:59,68,188,68,188,BetOutcome.WIN
Noita Soler TI 13-37,2024-12-06 06:38:33,0 days 00:20:54,72,142,142,72,BetOutcome.LOSS
Noita All Boss Chaingun Daily Run,2024-12-06 07:13:25,0 days 07:00:40,321,40,321,40,BetOutcome.WIN
Noita Soler TI 8-22,2024-12-07 07:15:59,0 days 00:14:33,56,238,238,56,BetOutcome.LOSS
Noita Soler TI 13-25,2024-12-07 08:21:52,0 days 00:17:33,59,204,204,59,BetOutcome.LOSS
Noita Power Hour 7 Wins,2024-12-07 08:46:28,0 days 01:24:01,94,135,135,94,BetOutcome.LOSS
Noita Daily Run Chat Chooses Perks,2024-12-07 10:46:54,0 days 01:52:58,186,20,186,20,BetOutcome.WIN
Noita Soler TI 13-37,2024-12-08 07:51:40,0 days 00:11:58,67,137,137,67,BetOutcome.LOSS
Noita Soler TI Fish Quest 60-90,2024-12-08 09:40:26,0 days 00:47:01,58,77,77,58,BetOutcome.LOSS
Noita Soler TI 18-25,2024-12-08 12:04:13,0 days 00:17:31,59,176,176,59,BetOutcome.LOSS
Noita New Game +5 Daily Run Different Dmg Wands,2024-12-14 07:24:39,0 days 08:16:39,332,34,332,34,BetOutcome.WIN
Noita Soler TI 18-26,2024-12-15 07:55:20,0 days 00:12:59,61,186,61,186,BetOutcome.WIN
Noita Soler TI 18-25,2024-12-15 08:39:31,0 days 00:11:31,63,173,173,63,BetOutcome.LOSS
Noita Nightmare Mode Run,2024-12-15 09:13:58,0 days 00:25:19,157,61,61,157,BetOutcome.LOSS
Noita Nightmare Mode Run Attempt 2,2024-12-15 09:39:35,0 days 03:42:05,149,77,149,77,BetOutcome.WIN
Noita Soler TI 15-25,2024-12-15 13:35:45,0 days 00:13:51,62,167,167,62,BetOutcome.LOSS
Noita Soler TI 18-25,2024-12-20 07:56:41,0 days 00:12:17,56,175,175,56,BetOutcome.LOSS
Noita 3 Roll Ask The Gods Daily Run,2024-12-20 09:47:33,0 days 05:33:50,183,30,183,30,BetOutcome.WIN
Noita Glass Cannon Sun Quest Daily Run,2024-12-21 08:37:23,0 days 07:20:11,272,80,272,80,BetOutcome.WIN
Noita Power Words 10 Runs,2024-12-22 08:47:09,0 days 00:41:55,48,209,209,48,BetOutcome.LOSS
Noita Power Words 10 Runs Attempt 2,2024-12-22 09:43:40,0 days 00:30:11,54,239,239,54,BetOutcome.LOSS
Noita Power Words 15 Attempts,2024-12-22 11:46:21,0 days 00:54:59,34,158,158,34,BetOutcome.LOSS
Noita Soler TI 14-24,2024-12-22 13:26:09,0 days 00:16:12,63,201,201,63,BetOutcome.LOSS
Noita Daily Run No HM Drowning Santa,2024-12-25 08:12:09,0 days 03:46:11,378,26,378,26,BetOutcome.WIN
Noita PowerWords 7 Tries,2024-12-25 12:14:46,0 days 00:34:03,61,174,174,61,BetOutcome.LOSS
Factorio Make It To Gleba,2024-12-27 07:12:18,0 days 03:26:59,64,24,64,24,BetOutcome.WIN
Noita Soler TI 16-26,2024-12-28 09:19:59,0 days 00:14:54,57,219,219,57,BetOutcome.LOSS
Noita Power Words 10 Attempts,2024-12-28 13:30:28,0 days 00:44:08,30,152,152,30,BetOutcome.LOSS
Noita Power Words 10 Lives,2024-12-28 14:43:14,0 days 00:54:07,29,183,183,29,BetOutcome.LOSS
Noita Soler TI 12-32,2024-12-29 08:28:19,0 days 00:13:37,55,187,187,55,BetOutcome.LOSS
Noita 2024 Brainrot Run,2024-12-29 09:44:47,0 days 07:52:08,357,48,357,48,BetOutcome.WIN
Noita Soler TI 20-24,2024-12-29 17:37:20,0 days 00:08:58,73,167,167,73,BetOutcome.LOSS
Noita Soler TI 13-37,2025-01-04 06:55:33,0 days 00:16:31,65,154,154,65,BetOutcome.LOSS
Noita Power Words 10 Runs,2025-01-04 09:15:56,0 days 00:32:15,35,217,217,35,BetOutcome.LOSS
Noita Roulette Daily Run,2025-01-04 10:01:26,0 days 04:57:28,384,33,384,33,BetOutcome.WIN
Noita Soler TI 13-37,2025-01-05 07:11:23,0 days 00:08:13,54,160,160,54,BetOutcome.LOSS
Noita Creating A Dark Sun No Parallel Worlds Daily Run,2025-01-05 07:57:58,0 days 06:00:30,437,26,437,26,BetOutcome.WIN
Noita Soler TI 18-25,2025-01-10 09:02:41,0 days 00:14:39,39,180,180,39,BetOutcome.LOSS
Noita Wand Jenga Challenge,2025-01-10 10:03:43,0 days 02:04:19,254,39,39,254,BetOutcome.LOSS
Noita Soler TI 10-18,2025-01-10 12:09:40,0 days 00:18:26,79,200,200,79,BetOutcome.LOSS
Noita Soler TI 3-37,2025-01-10 14:03:51,0 days 00:09:18,78,182,182,78,BetOutcome.LOSS
Noita All Boss Avarice Diamond Daily Run,2025-01-11 07:35:26,0 days 06:35:25,353,20,353,20,BetOutcome.WIN
Noita Test Best,2025-01-11 21:18:31,0 days 00:01:13,1,2,1,2,BetOutcome.WIN
Noita Soler TI 18-26,2025-01-12 07:41:45,0 days 00:08:19,59,218,59,218,BetOutcome.WIN
Noita Soler TI 18-26,2025-01-12 08:06:31,0 days 00:19:33,112,230,230,112,BetOutcome.LOSS
Noita Nightmare 7 Orb Run,2025-01-12 08:49:37,0 days 05:01:46,213,85,213,85,BetOutcome.WIN
Noita Soler TI 19-27,2025-01-12 14:01:05,0 days 00:21:51,98,161,161,98,BetOutcome.LOSS
Noita New Game+28 Daily Run,2025-01-18 03:11:58,0 days 13:37:44,309,46,309,46,BetOutcome.WIN
Noita Soler TI 13-37,2025-01-19 09:37:07,0 days 00:16:20,53,226,226,53,BetOutcome.LOSS
Noita Music Chests Daily Run,2025-01-19 10:25:12,0 days 04:01:01,386,27,386,27,BetOutcome.WIN
Factorio Do I kill NEARBY nest before stream end?,2025-01-23 09:09:11,0 days 00:55:12,88,18,88,18,BetOutcome.WIN
Noita Ban 1 Spell Per HM Daily Run,2025-01-25 06:45:06,0 days 04:32:16,399,22,399,22,BetOutcome.WIN
Noita Soler TI 13-37,2025-01-25 12:01:22,0 days 00:18:56,40,172,40,172,BetOutcome.WIN
Noita Max Roulette Daily Run,2025-01-26 06:26:21,0 days 06:08:38,342,28,342,28,BetOutcome.WIN
Noita Soler TI 18-25,2025-01-26 12:38:51,0 days 00:14:19,67,164,164,67,BetOutcome.LOSS
Noita Soler TI 18-25,2025-01-31 08:55:25,0 days 00:22:04,68,221,68,221,BetOutcome.WIN
Noita Pacifist Daily Run,2025-01-31 10:37:39,0 days 01:00:18,176,78,176,78,BetOutcome.WIN
Noita No Gold Run,2025-01-31 11:50:10,0 days 01:07:12,147,144,144,147,BetOutcome.LOSS
Noita Soler TI 18-25,2025-02-01 10:37:57,0 days 00:21:22,74,216,74,216,BetOutcome.WIN
Noita Soler TI 18-24,2025-02-01 11:14:32,0 days 00:18:16,66,183,183,66,BetOutcome.LOSS
Noita Worst Trade Deal Daily Run,2025-02-02 07:35:49,0 days 05:15:57,388,37,37,388,BetOutcome.LOSS
Noita Soler TI 18-25,2025-02-02 13:42:26,0 days 00:15:15,84,207,207,84,BetOutcome.LOSS
Noita Soler TI 18-25,2025-02-02 14:12:36,0 days 00:14:30,94,200,200,94,BetOutcome.LOSS
ONI Building Petro Boiler,2025-02-05 09:30:01,0 days 04:09:56,91,24,91,24,BetOutcome.WIN
Noita Soler TI 12-28,2025-02-07 07:12:30,0 days 00:07:41,60,208,208,60,BetOutcome.LOSS
