title,date,duration,yes_votes,no_votes,winners,losers,outcome
Noita Soler TI 13-27,2025-04-12 08:07:15,0 days 00:13:55,88,252,252,88,BetOutcome.LOSS
Noita Soler TI 13-37,2025-04-12 09:22:05,0 days 00:17:03,69,199,69,199,BetOutcome.WIN
Noita Random Spawn Run,2025-04-12 09:47:56,0 days 01:43:43,108,167,108,167,BetOutcome.WIN
Noita Soler TI 13-32,2025-04-12 12:08:13,0 days 00:15:50,84,166,84,166,BetOutcome.WIN
Noita 10 Win Streak,2025-04-13 03:09:47,0 days 01:07:58,257,88,88,257,BetOutcome.LOSS
Noita Next 5 In A Row,2025-04-13 07:01:02,0 days 00:17:36,293,80,80,293,BetOutcome.LOSS
Noita Winstreak 37 Final Win,2025-04-14 06:35:44,0 days 01:09:27,644,52,644,52,BetOutcome.WIN
Noita Easter Egg All Boss Run,2025-04-20 05:15:53,0 days 00:28:46,238,115,115,238,BetOutcome.LOSS
Noita Easter All Boss Daily Run Attempt 2,2025-04-20 05:45:09,0 days 05:30:31,366,40,366,40,BetOutcome.WIN
Noita Soler TI 18-25,2025-04-20 11:29:19,0 days 00:12:33,62,176,176,62,BetOutcome.LOSS
Factorio Aquilo Journey,2025-04-23 09:58:23,0 days 00:36:26,51,64,64,51,BetOutcome.LOSS
Noita Touch Of Grass Wisp Daily Run,2025-04-24 05:59:09,0 days 05:49:24,374,24,374,24,BetOutcome.WIN
Noita Soler TI 12-28,2025-04-24 11:49:56,0 days 00:16:44,67,154,154,67,BetOutcome.LOSS
Noita Soler TI 17-27,2025-04-25 05:15:18,0 days 00:20:50,56,184,56,184,BetOutcome.WIN
Noita Power Words 10 Attempts,2025-04-25 06:15:38,0 days 00:50:07,83,196,196,83,BetOutcome.LOSS
Noita Power Words 15 Attempts,2025-04-25 07:50:30,0 days 00:58:13,98,219,219,98,BetOutcome.LOSS
Noita Nightmare Run,2025-04-25 08:56:25,0 days 02:52:45,204,74,204,74,BetOutcome.WIN
Noita New Game + Coinflip Daily Run,2025-04-26 06:42:33,0 days 05:58:30,444,42,444,42,BetOutcome.WIN
Noita Soler TI 13-37,2025-04-27 06:03:18,0 days 00:10:46,75,192,192,75,BetOutcome.LOSS
Noita Soler TI 18-25,2025-04-27 06:57:39,0 days 00:18:29,68,234,234,68,BetOutcome.LOSS
Noita Fish Quest Daily Run,2025-04-27 07:56:54,0 days 03:53:10,423,27,423,27,BetOutcome.WIN
Factorio Aquilo Ship Undamaged,2025-04-30 12:26:46,0 days 00:10:35,44,32,44,32,BetOutcome.WIN
